time, FPSSternPort, FPSBow, FPSSternStbd, OWCBow, OWCSternPort, OWCSternStbd, FPS_OWCUmbilical, FPSUmbilical, PressureSensor
1.1328,6.9006e-05,9.2705e-05,0.00013,3.3068e-05,3.181e-05,3.09e-05,7.4608e-05,0.000138,-1.1993e-05
1.1406,6.8691e-05,0.00010175,0.00013,3.3862e-05,3.1584e-05,3.1413e-05,7.3343e-05,0.00013825,2.7229e-05
1.1484,6.8584e-05,0.000106,0.000131,3.3108e-05,3.1436e-05,3.1418e-05,7.3282e-05,0.00013813,-2.4884e-06
1.1563,6.916e-05,9.8116e-05,0.0001305,3.3372e-05,3.1506e-05,3.0419e-05,7.4158e-05,0.0001375,5.1982e-06
1.1641,6.8245e-05,0.00011875,0.00013087,3.3983e-05,3.1662e-05,3.0522e-05,7.4744e-05,0.00013713,4.0233e-06
1.1719,6.9145e-05,9.8394e-05,0.0001315,3.3978e-05,3.2041e-05,3.0055e-05,7.386e-05,0.00013825,-1.1358e-05
1.1797,6.8456e-05,0.00010375,0.000131,3.3365e-05,3.1828e-05,3.14e-05,7.4408e-05,0.00013962,-4.7308e-06
1.1875,6.8803e-05,0.000106,0.000131,3.2939e-05,3.1896e-05,3.0311e-05,7.3392e-05,0.000138,1.8152e-06
1.1953,6.888e-05,8.9481e-05,0.000131,3.33e-05,3.2026e-05,3.0517e-05,7.369e-05,0.000138,2.781e-06
1.2031,6.9124e-05,0.0001175,0.00013175,3.358e-05,3.1308e-05,3.0709e-05,7.4026e-05,0.000138,6.2389e-06
1.2109,6.8899e-05,0.000105,0.00013187,3.3662e-05,3.1757e-05,3.0304e-05,7.3527e-05,0.00013787,1.9527e-05
1.2188,6.8524e-05,0.000103,0.0001305,3.351e-05,3.1744e-05,3.1127e-05,7.372e-05,0.000138,-1.6393e-06
1.2266,6.9247e-05,0.00010987,0.00013187,3.3717e-05,3.0954e-05,3.0368e-05,7.3476e-05,0.00013725,3.2007e-06
